Date,City,State,AQI,PM2_5,PM10,NO2,SO2,CO,O3,Temperature_C,Humidity_%,Wind_kmph,Rainfall_mm,Traffic_Index,Industrial_Index,Population_Density,Season,AQI_Category,Health_Advisory
2024-07-29,Kolkata,West Bengal,370,238.4,86.8,84.2,26.3,2.38,94.6,41.5,56,17.8,90.4,64,40,1567,Summer,Very Poor,Stay indoors
2025-01-12,Chandigarh,Chandigarh,195,107.6,20.6,42.0,31.6,2.19,96.3,10.7,60,14.3,6.2,78,71,2143,Autumn,Moderate,Sensitive groups caution
2025-06-23,Patna,Bihar,102,24.0,214.8,100.0,43.9,1.32,164.8,29.4,76,28.6,69.8,33,83,3806,Summer,Moderate,Sensitive groups caution
2023-06-24,Mumbai,Maharashtra,339,170.2,274.3,112.4,23.2,2.54,169.0,30.8,29,28.6,11.2,52,70,20243,Autumn,Very Poor,Stay indoors
2025-04-04,Mumbai,Maharashtra,240,218.1,114.9,25.0,17.5,1.55,119.5,18.8,62,3.9,34.5,38,20,9959,Autumn,Poor,Limit outdoor activity
2025-11-30,Hyderabad,Telangana,403,240.6,191.4,47.1,78.1,0.88,146.7,25.5,74,23.2,77.8,20,36,13726,Winter,Severe,Stay indoors
2024-03-29,Chennai,Tamil Nadu,405,73.7,281.5,52.3,8.2,1.72,91.2,28.7,77,23.4,88.8,56,43,22503,Monsoon,Severe,Stay indoors
2023-04-09,Patna,Bihar,409,162.6,339.6,56.5,20.7,3.01,21.3,13.1,88,3.6,99.0,81,22,28786,Monsoon,Severe,Stay indoors
2023-10-13,Jaipur,Rajasthan,411,54.3,149.8,36.4,33.1,2.36,74.2,40.8,35,15.5,91.7,66,44,17497,Winter,Severe,Stay indoors
2025-08-11,Kolkata,West Bengal,81,98.1,159.1,93.0,66.8,0.83,109.0,20.3,72,19.6,84.4,60,78,7165,Monsoon,Satisfactory,Normal
2024-01-31,Delhi,Delhi,175,23.1,65.9,98.8,78.2,3.09,162.1,11.2,40,17.4,11.3,67,65,10995,Autumn,Moderate,Sensitive groups caution
2024-05-02,Chandigarh,Chandigarh,293,18.3,210.9,9.4,61.8,2.88,174.3,36.6,29,17.7,115.5,50,25,18483,Winter,Poor,Limit outdoor activity
2024-02-22,Lucknow,Uttar Pradesh,104,176.0,284.6,53.0,44.3,1.84,167.4,12.0,60,4.2,70.7,49,85,16614,Summer,Moderate,Sensitive groups caution
2025-11-08,Chennai,Tamil Nadu,255,47.9,341.8,17.7,45.6,1.34,151.3,16.6,89,18.4,47.4,57,10,22912,Winter,Poor,Limit outdoor activity
2025-04-01,Delhi,Delhi,249,87.7,112.7,99.4,53.2,3.06,78.5,36.2,53,15.4,102.0,67,39,24644,Winter,Poor,Limit outdoor activity
2025-11-04,Delhi,Delhi,449,39.1,202.1,56.0,76.8,0.81,55.5,30.3,21,9.6,21.2,33,19,5538,Monsoon,Severe,Stay indoors
2024-10-07,Chandigarh,Chandigarh,239,31.5,57.3,103.1,70.2,1.78,71.5,29.0,36,7.4,40.2,98,73,5013,Winter,Poor,Limit outdoor activity
2024-07-20,Bengaluru,Karnataka,197,49.5,205.5,52.1,49.8,3.02,137.3,27.9,86,7.7,32.7,56,27,20758,Winter,Moderate,Sensitive groups caution
2025-06-05,Ahmedabad,Gujarat,339,223.9,160.0,15.4,19.0,0.83,12.2,37.6,39,11.6,14.1,62,70,2564,Summer,Very Poor,Stay indoors
2025-12-13,Chennai,Tamil Nadu,38,35.2,194.0,76.9,28.4,2.44,110.0,13.1,89,29.0,49.9,56,30,853,Summer,Good,Normal
2024-04-28,Kolkata,West Bengal,241,62.1,176.7,36.4,75.2,2.26,20.8,27.5,64,16.6,80.9,71,46,29433,Winter,Poor,Limit outdoor activity
2025-03-09,Hyderabad,Telangana,227,195.4,50.6,74.7,34.7,1.3,132.5,24.6,56,1.1,7.0,96,27,1445,Summer,Poor,Limit outdoor activity
2024-11-04,Hyderabad,Telangana,102,167.6,71.1,80.7,62.9,1.37,126.5,37.4,28,3.3,53.5,45,58,9043,Summer,Moderate,Sensitive groups caution
2024-12-07,Delhi,Delhi,334,71.3,141.4,97.3,46.7,2.34,155.9,18.3,69,7.4,39.5,44,34,17925,Summer,Very Poor,Stay indoors
2025-01-10,Delhi,Delhi,84,237.3,230.3,90.6,34.7,0.72,62.7,12.9,23,23.3,53.8,26,73,16214,Winter,Satisfactory,Normal
2025-10-26,Hyderabad,Telangana,94,138.7,90.7,74.8,57.6,1.39,47.6,11.7,38,17.7,3.4,73,93,26660,Monsoon,Satisfactory,Normal
2024-04-22,Delhi,Delhi,447,156.7,127.1,49.3,9.1,2.11,147.0,25.9,73,13.1,67.1,45,71,17304,Autumn,Severe,Stay indoors
2023-01-29,Chennai,Tamil Nadu,166,79.2,109.3,75.8,66.7,0.84,124.2,40.5,57,10.2,57.0,76,35,12051,Autumn,Moderate,Sensitive groups caution
2024-10-20,Chandigarh,Chandigarh,194,226.5,159.2,40.1,66.3,2.06,110.8,40.3,92,4.8,51.0,25,12,15076,Autumn,Moderate,Sensitive groups caution
2023-10-29,Patna,Bihar,213,161.8,283.9,103.8,12.9,1.31,96.3,23.3,76,18.3,110.9,40,96,20442,Monsoon,Poor,Limit outdoor activity
2025-04-15,Patna,Bihar,390,93.0,309.4,40.6,25.6,3.35,34.4,31.9,76,20.1,63.7,93,36,18521,Monsoon,Very Poor,Stay indoors
2023-08-07,Patna,Bihar,232,202.3,292.9,80.8,3.9,0.95,19.4,24.2,83,6.9,41.0,89,98,8311,Winter,Poor,Limit outdoor activity
2025-10-05,Ahmedabad,Gujarat,315,11.0,142.7,46.5,65.2,0.79,82.3,15.4,30,21.7,1.5,86,31,14886,Winter,Very Poor,Stay indoors
